nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid An-Nur,Masjid,"Jl. Kapten Halim No.83, RT.11/RW.8, Nagri Kidul, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41111",,"4,8",5,,Tidak Ada ,Tidak Tersedia,-6.5629933,107.4489468,Aksesibilitas Tersedia,[]
Masjid Jami As-Syuhada Purwakarta,Masjid,"Jl. Ipik Gandamanah Gg. Masjid No.3 RT 003/006, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",Buka 24 jam,"5,0",1,,Tidak Ada ,Tidak Tersedia,-6.5203423,107.4639544,Aksesibilitas Tersedia,[]
MASJID JAMIE ASYSYIFA POLRES PURWAKARTA,Masjid,"FCFX+M5C, Jl. Veteran, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41118",,"4,9",17,,Tidak Ada ,Tidak Tersedia,-6.5258177,107.4478846,Aksesibilitas Tersedia,[]
Masjid Jamie Al Muhibbah Ciseureuh,Masjid,"Jl. Ipik Gandamanah No.17, Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41117",Buka 24 jam,"4,7",58,,Ada,Tidak Tersedia,-6.5250296,107.4585115,Aksesibilitas Tersedia,[]
Masjid Al Ittihad Muhammadiyah,Masjid,"FCGW+VPR, Jl. Kopi, Ciseureuh, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41118",,"4,5",8,,Tidak Ada ,Tidak Tersedia,-6.5227607,107.4467653,Aksesibilitas Tersedia,[]
Masjid PLN UP3 Purwakarta,Masjid,"CCWW+68C, Jl. K.K Singawinata, Nagri Tengah, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",Buka 24 jam,"4,6",54,,Tidak Ada ,Tidak Tersedia,-6.5544484,107.4457721,Aksesibilitas Tersedia,[]
Masjid Jami Al Muin,Masjid,"FC9P+QGC, Jl. Taman Pahlawan, Purwamekar, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41119",,"4,8",26,,Tidak Ada ,Tidak Tersedia,-6.530557,107.436262,Aksesibilitas Tersedia,[]
Karang Layung Masjid Jami Al falah,Masjid,"Karang layung, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41114",,"4,7",21,,Tidak Ada ,Tidak Tersedia,-6.5498888,107.4481113,Aksesibilitas Tersedia,[]
Masjid At Taufiq,Masjid,"FCFV+Q63, Kp.Mekarsari, Ciwareng, Kec. Babakancikao, Kabupaten Purwakarta, Jawa Barat 41151",Buka 24 jam,"4,8",4,,Tidak Ada ,Tidak Tersedia,-6.5256125,107.4430469,Aksesibilitas Tersedia,[]
Masjid Al-Barokah,Masjid,"Gg. Wortel No.17, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",,"4,9",7,,Tidak Ada ,Tidak Tersedia,-6.5599606,107.4416878,Aksesibilitas Tersedia,[]
