nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Google Maps tidak dapat terhubung ke Internet,Unknown,,,,,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Al Ikhlas,Masjid,"CQQ6+5RM, Jalan Ukong Sutaatmaja, Karanganyar, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,5",50,,Tidak Ada ,Tidak Tersedia,-6.5620289,107.7620501,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Hasanatul Kadir,Masjid,"CQR9+GV6, Jl. Mayjen Sutoyo, RW.15, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,5",38,,Tidak Ada ,Tidak Tersedia,-6.5587138,107.769656,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Besar Al-Ikhlash,Masjid,"Jl. Sagala Herang Subang No.32, Sagalaherang, Kec. Sagalaherang, Kabupaten Subang, Jawa Barat 41282",,"4,7",72,,Tidak Ada ,Tidak Tersedia,-6.6735032,107.6525355,Aksesibilitas Tersedia,[]
Masjid Jami Al Manshuur,Masjid,"CQP5+QM4, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,8",4,,Tidak Ada ,Tidak Tersedia,-6.5631082,107.7592019,Aksesibilitas Tersedia,[]
Masjid Raya Mochammad Said Amanah,Masjid,"7MG6+RC7, Cisaat, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",,"4,6",37,,Tidak Ada ,Tidak Tersedia,-6.7229564,107.6610335,Aksesibilitas Tersedia,[]
Masjid Jami Al-Mujahidin,Masjid,"7J7W+HP3, Ciater, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",Buka 24 jam,"4,9",83,"
0857-9880-2518",Ada,Tidak Tersedia,-6.7361081,107.6467957,Aksesibilitas Tersedia,[]
Masjid Agung Nurul Huda,Masjid,"7QM7+F7P, Sukakerti, Kec. Cisalak, Kabupaten Subang, Jawa Barat 41283",Buka 24 jam,"4,7",107,,Tidak Ada ,Tidak Tersedia,-6.7162924,107.763201,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Subang Kota,Masjid,"Jl. Palasari Dua - Babakan Gn. No.16, Ciater, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",,"4,5",65,,Tidak Ada ,Tidak Tersedia,-6.7225703,107.661015,Aksesibilitas Tersedia,[]
Masjid Ath-Thoyyibah (Replika Ka'bah-Kalijati),Masjid,"Jl. Raya Kalijati No.64, Kalijati Tim., Kec. Kalijati, Kabupaten Subang, Jawa Barat 41271",05.00 hingga 17.00,"4,5",196,,Ada,Tidak Tersedia,-6.5275832,107.687535,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al - Falah,Masjid,"CQJ4+VGW, Jl. KH. Agus Salim Blok Kaum, Cigadung, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,7",258,,Tidak Ada ,Tidak Tersedia,-6.5677523,107.7563149,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami' Al Firdaus,Masjid,"Gunungtua, Kec. Cijambe, Kabupaten Subang, Jawa Barat 41286",Buka 24 jam,"4,7",467,"
0821-1121-6200",Ada,Tidak Tersedia,-6.6151911,107.7275993,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid As Sa’adah,Masjid,"7M93+FVH, JL. Raya Subang, Bandung, Palasari, Subang, Subang Regency, West Java 41281",Buka 24 jam,"4,8",1.308,"
0811-208-489",Ada,Tidak Tersedia,-6.7313189,107.6547214,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
Masjid Besar Nurul Huda,Masjid,"Jalancagak, Kec. Jalancagak, Kabupaten Subang, Jawa Barat 41281",Buka 24 jam,"4,8",73,,Tidak Ada ,Tidak Tersedia,-6.6779418,107.6866566,Aksesibilitas Tersedia,[]
Masjid Jami' Nauroh Al Hison,Masjid,"8JMV+6HX, Dayeuhkolot, Kec. Sagalaherang, Kabupaten Subang, Jawa Barat 41282",,"4,6",59,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al'Ama,Masjid,"7M63+744, Nagrak, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",,"4,9",10,"
(0371) 04833",Ada,Tidak Tersedia,-6.7393733,107.6528232,Aksesibilitas Tersedia,[]
Masjid Jami Ash-Shidiq,Masjid,"Jl. Otto Iskandardinata No.82, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,6",73,,Tidak Ada ,Tidak Tersedia,-6.5645804,107.7663732,Aksesibilitas Tersedia,[]
Masjid Grand Sakina Residence,Masjid,"Dangdeur, Kec. Subang, Kabupaten Subang, Jawa Barat 41211",Buka 24 jam,"4,5",61,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al-Falah,Masjid,"Jl. Palasari Dua - Babakan Gn. No.16, Palasari, Kec. Ciater, Kabupaten Subang, Jawa Barat 41281",,"4,7",20,,Tidak Ada ,Tidak Tersedia,,,Aksesibilitas Tersedia,[]
Masjid Agung Al-Musabaqoh,Masjid,"CQH6+R85, Karanganyar, Kec. Subang, Kabupaten Subang, Jawa Barat 41215",Buka 24 jam,"4,7",602,,Tidak Ada ,Tidak Tersedia,-6.5704798,107.7608639,Aksesibilitas Tersedia,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']"
