nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,stt_tlp,website,latitude,longitude,Ketersediaan Akses,aksesibilitas
Masjid Jami Nurussobah,Masjid,"7GW4+GRC, Weru Lor, Kec. Weru, Kabupaten Cirebon, Jawa Barat 45154",,"4,9",49,,Tidak Ada ,Tidak Tersedia,-6.7036791,108.5070062,Aksesibilitas Tersedia,['Tidak memiliki pintu masuk khusus pengguna kursi roda']
Masjid Jami Nurul Iman,Masjid,"7H73+8G5, Jl. Dukuh Semar, Drajat, Kec. Kesambi, Kota Cirebon, Jawa Barat 45133",Buka 24 jam,"4,6",32,,Tidak Ada ,Tidak Tersedia,-6.736737,108.5538613,Aksesibilitas Tersedia,[]
MASJID NURUL IMAN GALUNGGUNG ASIH,Masjid,"6HX5+262, Kecapi, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45142",Buka 24 jam,"4,6",39,,Tidak Ada ,Tidak Tersedia,-6.7524857,108.5580267,Aksesibilitas Tersedia,[]
Masjid Al Ikhlas,Masjid,"6GG3+RQ2, Cirebon Girang, Kec. Talun, Kabupaten Cirebon, Jawa Barat 45171",Buka 24 jam,"4,7",10,"
0811-261-811",Ada,Tidak Tersedia,-6.7729795,108.5044025,Aksesibilitas Tersedia,[]
Masjid Nurrohman,Masjid,"7H68+255, Jl. Merpati X Perumnas, Larangan, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45141",,"4,6",30,,Tidak Ada ,Tidak Tersedia,-6.7399922,108.5654869,Aksesibilitas Tersedia,[]
Masjid Syarif Abdurachman Cirebon,Masjid,"8GFR+WCJ, Astana, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",Buka 24 jam,"4,6",1.656,,Tidak Ada ,Tidak Tersedia,-6.6751549,108.5410035,Aksesibilitas Tersedia,['Ada toilet khusus pengguna kursi roda']
Masjid Arab / Baiturrohman Pekalipan,Masjid,"7HG6+R6H, Jl. Pekalipan VIII, Pekalipan, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45117",Buka 24 jam,"4,6",14,,Tidak Ada ,Tidak Tersedia,-6.7229432,108.5606208,Aksesibilitas Tersedia,[]
Masjid Sang Rasa Jati,Masjid,"7FXJ+R7R, Karangasem, Kec. Plumbon, Kabupaten Cirebon, Jawa Barat 45155",Buka 24 jam,"4,8",21,"
0852-2452-1111",Ada,Tidak Tersedia,-6.7003797,108.4806299,Aksesibilitas Tersedia,[]
Masjid Al-Jamaah Pertamina Klayan Cirebon,Masjid,"8H82+6C2, Jl. Nangka, Jadimulya, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",Buka 24 jam,"4,8",26,,Tidak Ada ,Tidak Tersedia,-6.6844762,108.5510283,Aksesibilitas Tersedia,[]
Masjid Ukhwatul Ummah,Masjid,"Kalikoa, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",Buka 24 jam,"4,8",44,,Tidak Ada ,Tidak Tersedia,-6.7333156,108.5222926,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Al-Huda,Masjid,"Jl. Saleh No.119, Kesenden, Kec. Kejaksan, Kota Cirebon, Jawa Barat 45121",,"4,9",34,,Tidak Ada ,Tidak Tersedia,-6.6991294,108.556122,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami Al Munawwarah Gempol Cirebon,Masjid,"Jl. Leuwimunding-Palimanan No.140, Palimanan Bar., Kec. Gempol, Kabupaten Cirebon, Jawa Barat 45161",,"4,7",99,,Tidak Ada ,Tidak Tersedia,-6.705338,108.4165178,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Jami' Al Hidayah,Masjid,"7HF7+683, Jl. Pekalipan, Selatan, Pulasaren, Kec. Pekalipan, Kota Cirebon, Jawa Barat 45116",Buka 24 jam,"4,7",22,,Tidak Ada ,Tidak Tersedia,-6.7269758,108.563295,Aksesibilitas Tersedia,[]
Masjid Al Ittihad,Masjid,"7GPQ+QMF, Jl. Simega III, Kertawinangun, Kec. Kedawung, Kabupaten Cirebon, Jawa Barat 45153",,"4,6",150,"
0895-7071-16565",Ada,Tidak Tersedia,-6.7130742,108.5391602,Aksesibilitas Tersedia,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']"
Masjid Agung Dog Jumeneng,Masjid,"8GHR+G72, Astana, Kec. Gunungjati, Kabupaten Cirebon, Jawa Barat 45151",Buka 24 jam,"4,6",13,,Tidak Ada ,Tidak Tersedia,-6.6712294,108.5406382,Aksesibilitas Tersedia,[]
